,municipio,unnamed: 0,ph,n,mo,k,ca,mg,na,al,cic,p,fe,mn,zn,cu,s,b,ar,l,a,clasificacion,Rangos ph,Rangos n,Rangos mo,Rangos k,Rangos ca,Rangos mg,Rangos na,Rangos al,Rangos cic,Rangos p,Rangos fe,Rangos mn,Rangos zn,Rangos cu,Rangos s,Rangos b,Rangos ar,Rangos l,Rangos a,muestras
0,AGUACHICA,3434.0,5.7,0.19,2.0,0.14,2.97,1.57,0.06,0.1,8.0,4.0,90.0,61.0,8.8,0.9,3.3,0.04,14.0,17.0,69.0,2.0,"(4.499, 5.0]  0    (5.0, 5.5]   0    (5.5, 6.0]   1","Series([], )","Series([], )","Series([], )","(1.499, 3.0]  1    (3.0, 5.0]   0    (5.0, 6.0]   0","(0.599, 1.2]  0    (1.2, 1.8]   1    (1.8, 2.4]   0","(0.019, 0.04]  0    (0.04, 0.06]   1    (0.06, 0.08]   0","Series([], )","Series([], )","Series([], )","(69.999, 140.0]  1    (140.0, 210.0]   0    (210.0, 280.0]   0","(19.999, 40.0]  0    (40.0, 60.0]   0    (60.0, 80.0]   1","(2.999, 6.0]  0    (6.0, 9.0]   1    (9.0, 12.0]   0","Series([], )","Series([], )","Series([], )","(6.999, 14.0]  1    (14.0, 21.0]   0    (21.0, 28.0]   0","Series([], )","Series([], )",1
1,AGUADAS,33047.07142857143,4.971428571428571,0.4128571428571429,10.492857142857144,0.31642857142857145,3.309285714285714,1.0507142857142857,0.025,0.892857142857143,23.5,13.785714285714286,213.5,39.5,4.392857142857142,5.692857142857142,9.728571428571428,0.3221428571428571,30.714285714285715,27.071428571428573,42.42857142857143,2.9285714285714284,"(4.499, 5.0]  5    (5.0, 5.5]   7    (5.5, 6.0]   0","(0.199, 0.3]  3    (0.3, 0.4]   5    (0.4, 0.5]   3","(4.999, 10.0]  8    (10.0, 15.0]   4    (15.0, 20.0]   2","(0.199, 0.4]  5    (0.4, 0.6]   2    (0.6, 0.8]   2","(1.499, 3.0]  6    (3.0, 5.0]   4    (5.0, 6.0]   0","(0.599, 1.2]  5    (1.2, 1.8]   2    (1.8, 2.4]   0","(0.019, 0.04]  7    (0.04, 0.06]   1    (0.06, 0.08]   1","(0.399, 0.8]  5    (0.8, 1.2]   3    (1.2, 1.6]   3","(9.999, 15.0]  1    (15.0, 20.0]   5    (20.0, 25.0]   3","(6.999, 14.0]  5    (14.0, 21.0]   0    (21.0, 28.0]   0","(69.999, 140.0]  1    (140.0, 210.0]   7    (210.0, 280.0]   3","(19.999, 40.0]  3    (40.0, 60.0]   3    (60.0, 80.0]   3","(2.999, 6.0]  6    (6.0, 9.0]   2    (9.0, 12.0]   1","(2.999, 6.0]  7    (6.0, 9.0]   1    (9.0, 12.0]   2","(4.999, 10.0]  5    (10.0, 15.0]   3    (15.0, 20.0]   0","(0.149, 0.3]  5    (0.3, 0.45]   4    (0.45, 0.6]   1","(6.999, 14.0]  1    (14.0, 21.0]   1    (21.0, 28.0]   4","(19.999, 25.0]  8    (25.0, 30.0]   3    (30.0, 35.0]   2","(29.999, 40.0]  6    (40.0, 50.0]   5    (50.0, 60.0]   3",14
2,ALCALÁ,19865.416666666668,5.258333333333333,0.28750000000000003,6.733333333333334,0.3525,3.888333333333333,0.8675000000000002,0.0675,0.5166666666666666,19.083333333333332,16.25,333.5,31.833333333333332,7.8666666666666645,4.175,11.316666666666668,0.23750000000000002,30.166666666666668,26.083333333333332,43.833333333333336,3.0,"(4.499, 5.0]   2    (5.0, 5.5]   10    (5.5, 6.0]    0","(0.199, 0.3]  9    (0.3, 0.4]   0    (0.4, 0.5]   3","(4.999, 10.0]  5    (10.0, 15.0]   3    (15.0, 20.0]   0","(0.199, 0.4]  3    (0.4, 0.6]   1    (0.6, 0.8]   2","(1.499, 3.0]  3    (3.0, 5.0]   7    (5.0, 6.0]   1","(0.599, 1.2]  6    (1.2, 1.8]   3    (1.8, 2.4]   0","(0.019, 0.04]  2    (0.04, 0.06]   2    (0.06, 0.08]   2","(0.399, 0.8]  4    (0.8, 1.2]   1    (1.2, 1.6]   1","(9.999, 15.0]  2    (15.0, 20.0]   7    (20.0, 25.0]   3","(6.999, 14.0]  7    (14.0, 21.0]   1    (21.0, 28.0]   0","(69.999, 140.0]  2    (140.0, 210.0]   1    (210.0, 280.0]   1","(19.999, 40.0]  5    (40.0, 60.0]   2    (60.0, 80.0]   0","(2.999, 6.0]  1    (6.0, 9.0]   5    (9.0, 12.0]   5","(2.999, 6.0]  4    (6.0, 9.0]   1    (9.0, 12.0]   0","(4.999, 10.0]  4    (10.0, 15.0]   4    (15.0, 20.0]   1","(0.149, 0.3]  3    (0.3, 0.45]   4    (0.45, 0.6]   0","(6.999, 14.0]  1    (14.0, 21.0]   2    (21.0, 28.0]   1","(19.999, 25.0]  6    (25.0, 30.0]   3    (30.0, 35.0]   0","(29.999, 40.0]  4    (40.0, 50.0]   7    (50.0, 60.0]   1",12
3,ALGECIRAS,32341.5,4.550000000000001,0.19,4.1,0.27,1.5550000000000002,0.61,0.05,0.7000000000000001,10.0,9.0,409.0,60.0,1.8,2.0,16.700000000000003,0.2,19.5,15.0,65.5,3.0,"(4.499, 5.0]  1    (5.0, 5.5]   0    (5.5, 6.0]   0","(0.199, 0.3]  1    (0.3, 0.4]   0    (0.4, 0.5]   0","(4.999, 10.0]  1    (10.0, 15.0]   0    (15.0, 20.0]   0","(0.199, 0.4]  2    (0.4, 0.6]   0    (0.6, 0.8]   0","(1.499, 3.0]  1    (3.0, 5.0]   0    (5.0, 6.0]   0","(0.599, 1.2]  1    (1.2, 1.8]   0    (1.8, 2.4]   0","(0.019, 0.04]  1    (0.04, 0.06]   0    (0.06, 0.08]   1","(0.399, 0.8]  0    (0.8, 1.2]   1    (1.2, 1.6]   0","(9.999, 15.0]  1    (15.0, 20.0]   0    (20.0, 25.0]   0","(6.999, 14.0]  1    (14.0, 21.0]   0    (21.0, 28.0]   0","Series([], )","Series([], )","Series([], )","(2.999, 6.0]  1    (6.0, 9.0]   0    (9.0, 12.0]   0","(4.999, 10.0]  1    (10.0, 15.0]   0    (15.0, 20.0]   0","(0.149, 0.3]  0    (0.3, 0.45]   1    (0.45, 0.6]   0","(6.999, 14.0]  1    (14.0, 21.0]   0    (21.0, 28.0]   0","Series([], )","(29.999, 40.0]  0    (40.0, 50.0]   0    (50.0, 60.0]   1",2
4,AMAGÁ,19681.666666666668,5.3999999999999995,0.3033333333333333,7.066666666666666,0.4566666666666667,22.743333333333336,6.9766666666666675,0.07666666666666666,0.13333333333333333,28.333333333333332,10.0,294.6666666666667,92.66666666666667,5.466666666666666,8.700000000000001,19.833333333333332,1.0366666666666666,42.0,27.333333333333332,30.333333333333332,2.3333333333333335,"(4.499, 5.0]  0    (5.0, 5.5]   2    (5.5, 6.0]   1","(0.199, 0.3]  1    (0.3, 0.4]   2    (0.4, 0.5]   0","(4.999, 10.0]  3    (10.0, 15.0]   0    (15.0, 20.0]   0","(0.199, 0.4]  0    (0.4, 0.6]   3    (0.6, 0.8]   0","Series([], )","Series([], )","(0.019, 0.04]  0    (0.04, 0.06]   1    (0.06, 0.08]   1","Series([], )","(9.999, 15.0]  0    (15.0, 20.0]   0    (20.0, 25.0]   1","(6.999, 14.0]  3    (14.0, 21.0]   0    (21.0, 28.0]   0","(69.999, 140.0]  0    (140.0, 210.0]   0    (210.0, 280.0]   2","(19.999, 40.0]  0    (40.0, 60.0]   0    (60.0, 80.0]   1","(2.999, 6.0]  2    (6.0, 9.0]   1    (9.0, 12.0]   0","(2.999, 6.0]  1    (6.0, 9.0]   0    (9.0, 12.0]   1","(4.999, 10.0]  0    (10.0, 15.0]   1    (15.0, 20.0]   1","Series([], )","Series([], )","(19.999, 25.0]  1    (25.0, 30.0]   1    (30.0, 35.0]   1","(29.999, 40.0]  2    (40.0, 50.0]   0    (50.0, 60.0]   0",3
5,ANDES,19462.0,4.85,0.4392857142857143,11.754761904761907,0.4307142857142857,2.6300000000000003,0.8790476190476193,0.022857142857142868,1.5476190476190477,26.833333333333332,23.571428571428573,252.66666666666666,38.95238095238095,4.228571428571429,4.461904761904763,15.226190476190478,0.36714285714285716,27.928571428571427,26.5,45.5,2.3095238095238093,"(4.499, 5.0]  27    (5.0, 5.5]   17    (5.5, 6.0]    1","(0.199, 0.3]  10    (0.3, 0.4]    8    (0.4, 0.5]    9","(4.999, 10.0]  16    (10.0, 15.0]   14    (15.0, 20.0]   8","(0.199, 0.4]  17    (0.4, 0.6]   11    (0.6, 0.8]    4","(1.499, 3.0]  13    (3.0, 5.0]    7    (5.0, 6.0]    0","(0.599, 1.2]  8    (1.2, 1.8]   3    (1.8, 2.4]   1","(0.019, 0.04]  33    (0.04, 0.06]   3    (0.06, 0.08]   0","(0.399, 0.8]  12    (0.8, 1.2]    6    (1.2, 1.6]    3","(9.999, 15.0]   3    (15.0, 20.0]   16    (20.0, 25.0]   8","(6.999, 14.0]  10    (14.0, 21.0]   7    (21.0, 28.0]   3","(69.999, 140.0]   9    (140.0, 210.0]   16    (210.0, 280.0]   10","(19.999, 40.0]  18    (40.0, 60.0]    4    (60.0, 80.0]    6","(2.999, 6.0]  32    (6.0, 9.0]    5    (9.0, 12.0]   1","(2.999, 6.0]  12    (6.0, 9.0]    9    (9.0, 12.0]   3","(4.999, 10.0]  15    (10.0, 15.0]   9    (15.0, 20.0]   6","(0.149, 0.3]  13    (0.3, 0.45]   23    (0.45, 0.6]   9","(6.999, 14.0]   2    (14.0, 21.0]   18    (21.0, 28.0]   10","(19.999, 25.0]  21    (25.0, 30.0]   13    (30.0, 35.0]    8","(29.999, 40.0]  19    (40.0, 50.0]    5    (50.0, 60.0]   14",42
6,ANSERMA,23021.48,5.155999999999999,0.3768000000000001,9.375999999999998,0.408,3.548,1.263,0.03120000000000002,0.6160000000000003,24.56,6.98,255.12,37.34,5.528000000000003,5.33,9.697999999999999,0.3056,27.82,29.36,42.8,3.1,"(4.499, 5.0]  18    (5.0, 5.5]   23    (5.5, 6.0]   13","(0.199, 0.3]  13    (0.3, 0.4]   11    (0.4, 0.5]   18","(4.999, 10.0]  19    (10.0, 15.0]   25    (15.0, 20.0]   1","(0.199, 0.4]  18    (0.4, 0.6]   10    (0.6, 0.8]    8","(1.499, 3.0]  17    (3.0, 5.0]   17    (5.0, 6.0]    5","(0.599, 1.2]  17    (1.2, 1.8]    8    (1.8, 2.4]    4","(0.019, 0.04]  36    (0.04, 0.06]   7    (0.06, 0.08]   4","(0.399, 0.8]  20    (0.8, 1.2]    7    (1.2, 1.6]    4","(9.999, 15.0]   6    (15.0, 20.0]   15    (20.0, 25.0]   7","(6.999, 14.0]  17    (14.0, 21.0]   0    (21.0, 28.0]   0","(69.999, 140.0]   4    (140.0, 210.0]   17    (210.0, 280.0]   15","(19.999, 40.0]  21    (40.0, 60.0]    6    (60.0, 80.0]    4","(2.999, 6.0]  25    (6.0, 9.0]   11    (9.0, 12.0]   5","(2.999, 6.0]  31    (6.0, 9.0]    7    (9.0, 12.0]   6","(4.999, 10.0]  17    (10.0, 15.0]   18    (15.0, 20.0]   5","(0.149, 0.3]  23    (0.3, 0.45]   14    (0.45, 0.6]   6","(6.999, 14.0]   1    (14.0, 21.0]   12    (21.0, 28.0]   15","(19.999, 25.0]  15    (25.0, 30.0]   18    (30.0, 35.0]   14","(29.999, 40.0]  12    (40.0, 50.0]   39    (50.0, 60.0]    2",50
7,ANSERMANUEVO,16276.2,5.720000000000001,0.198,4.3,0.256,8.092,4.926,0.16599999999999998,0.56,17.2,4.4,246.4,46.8,1.9599999999999997,4.26,4.74,0.372,39.4,22.8,37.4,2.0,"(4.499, 5.0]  0    (5.0, 5.5]   1    (5.5, 6.0]   4","(0.199, 0.3]  3    (0.3, 0.4]   0    (0.4, 0.5]   0","(4.999, 10.0]  2    (10.0, 15.0]   0    (15.0, 20.0]   0","(0.199, 0.4]  2    (0.4, 0.6]   1    (0.6, 0.8]   0","(1.499, 3.0]  0    (3.0, 5.0]   1    (5.0, 6.0]   0","(0.599, 1.2]  0    (1.2, 1.8]   1    (1.8, 2.4]   0","(0.019, 0.04]  0    (0.04, 0.06]   0    (0.06, 0.08]   1","Series([], )","(9.999, 15.0]  2    (15.0, 20.0]   2    (20.0, 25.0]   1","(6.999, 14.0]  1    (14.0, 21.0]   0    (21.0, 28.0]   0","(69.999, 140.0]  1    (140.0, 210.0]   2    (210.0, 280.0]   1","(19.999, 40.0]  3    (40.0, 60.0]   1    (60.0, 80.0]   1","(2.999, 6.0]  2    (6.0, 9.0]   0    (9.0, 12.0]   0","(2.999, 6.0]  3    (6.0, 9.0]   1    (9.0, 12.0]   0","(4.999, 10.0]  3    (10.0, 15.0]   0    (15.0, 20.0]   0","(0.149, 0.3]  2    (0.3, 0.45]   1    (0.45, 0.6]   0","Series([], )","(19.999, 25.0]  4    (25.0, 30.0]   1    (30.0, 35.0]   0","(29.999, 40.0]  2    (40.0, 50.0]   2    (50.0, 60.0]   0",5
8,APÍA,28574.055555555555,5.383333333333334,0.44444444444444453,11.53888888888889,0.31,4.849444444444444,1.446111111111111,0.03388888888888889,0.41666666666666674,23.444444444444443,12.5,216.72222222222223,45.55555555555556,7.988888888888888,5.1,10.183333333333334,0.3644444444444445,25.72222222222222,30.333333333333332,44.0,3.6666666666666665,"(4.499, 5.0]   3    (5.0, 5.5]   11    (5.5, 6.0]    3","(0.199, 0.3]  3    (0.3, 0.4]   3    (0.4, 0.5]   5","(4.999, 10.0]  5    (10.0, 15.0]   8    (15.0, 20.0]   4","(0.199, 0.4]  8    (0.4, 0.6]   2    (0.6, 0.8]   2","(1.499, 3.0]  5    (3.0, 5.0]   4    (5.0, 6.0]   2","(0.599, 1.2]  5    (1.2, 1.8]   2    (1.8, 2.4]   4","(0.019, 0.04]  15    (0.04, 0.06]   2    (0.06, 0.08]   1","(0.399, 0.8]  9    (0.8, 1.2]   2    (1.2, 1.6]   0","(9.999, 15.0]  5    (15.0, 20.0]   2    (20.0, 25.0]   5","(6.999, 14.0]  9    (14.0, 21.0]   2    (21.0, 28.0]   0","(69.999, 140.0]  6    (140.0, 210.0]   5    (210.0, 280.0]   2","(19.999, 40.0]  8    (40.0, 60.0]   3    (60.0, 80.0]   1","(2.999, 6.0]  5    (6.0, 9.0]   2    (9.0, 12.0]   2","(2.999, 6.0]  10    (6.0, 9.0]    3    (9.0, 12.0]   0","(4.999, 10.0]  7    (10.0, 15.0]   3    (15.0, 20.0]   1","(0.149, 0.3]  8    (0.3, 0.45]   7    (0.45, 0.6]   1","(6.999, 14.0]  0    (14.0, 21.0]   6    (21.0, 28.0]   5","(19.999, 25.0]  3    (25.0, 30.0]   8    (30.0, 35.0]   4","(29.999, 40.0]   3    (40.0, 50.0]   15    (50.0, 60.0]    0",18
9,ARANZAZU,35094.0,5.464285714285714,0.34714285714285725,8.692857142857143,0.31857142857142856,4.529285714285715,1.1442857142857144,0.07142857142857144,0.3071428571428571,18.928571428571427,19.142857142857142,267.07142857142856,31.071428571428573,6.221428571428572,4.835714285714286,13.171428571428573,0.41285714285714287,17.357142857142858,28.785714285714285,53.857142857142854,2.857142857142857,"(4.499, 5.0]  1    (5.0, 5.5]   8    (5.5, 6.0]   4","(0.199, 0.3]  7    (0.3, 0.4]   2    (0.4, 0.5]   3","(4.999, 10.0]  8    (10.0, 15.0]   3    (15.0, 20.0]   0","(0.199, 0.4]  4    (0.4, 0.6]   3    (0.6, 0.8]   2","(1.499, 3.0]  1    (3.0, 5.0]   3    (5.0, 6.0]   1","(0.599, 1.2]  3    (1.2, 1.8]   4    (1.8, 2.4]   0","(0.019, 0.04]  5    (0.04, 0.06]   4    (0.06, 0.08]   2","(0.399, 0.8]  1    (0.8, 1.2]   1    (1.2, 1.6]   0","(9.999, 15.0]   0    (15.0, 20.0]   10    (20.0, 25.0]   4","(6.999, 14.0]  3    (14.0, 21.0]   2    (21.0, 28.0]   1","(69.999, 140.0]  0    (140.0, 210.0]   5    (210.0, 280.0]   3","(19.999, 40.0]  6    (40.0, 60.0]   2    (60.0, 80.0]   0","(2.999, 6.0]  2    (6.0, 9.0]   2    (9.0, 12.0]   4","(2.999, 6.0]  4    (6.0, 9.0]   5    (9.0, 12.0]   0","(4.999, 10.0]  3    (10.0, 15.0]   3    (15.0, 20.0]   1","(0.149, 0.3]  3    (0.3, 0.45]   3    (0.45, 0.6]   1","(6.999, 14.0]  4    (14.0, 21.0]   8    (21.0, 28.0]   2","(19.999, 25.0]  3    (25.0, 30.0]   7    (30.0, 35.0]   4","(29.999, 40.0]   0    (40.0, 50.0]    0    (50.0, 60.0]   14",14
